Palm Coast,FL,29.584452,-81.207870
St. Louis,MO,38.627003,-90.199402
Nashville,TN,36.174465,-86.767960
Burlington,VT,44.475883,-73.212074
Lincoln,NE,40.806862,-96.681679
Ozark,AR,35.489746,-93.824272
Kingsport,TN,36.548435,-82.561821
Huntsville,AL,34.738228,-86.601791
Columbus,IN,39.201439,-85.921379
Salem,OR,44.944099,-123.040283
Charlotte,NC,35.227085,-80.843124
Charleston,SC,32.784618,-79.940918
Santa Fe,NM,35.691544,-105.944183
Sacramento,CA,38.575764,-121.478851
Reno,NV,39.530895,-119.814972
Colorado Springs,CO,38.846127,-104.800644
New City,NY,41.147594,-73.989304
Allentown,PA,40.613953,-75.477791
Newport,TN,35.964279,-83.182152
Oklahoma City,OK,35.481918,-97.508469
Highland Park,IL,42.190166,-87.786697
St. Joseph,MO,39.766853,-94.834152
Naperville,IL,41.748489,-88.186111
Salt Lake City,UT,40.758701,-111.876183
Saint Paul,MN,44.954445,-93.091301
Toledo,OH,41.651031,-83.541939
Ann Arbor,MI,42.279594,-83.732124
San Francisco,CA,37.773972,-122.431297
Springfield,VA,38.788612,-77.174316
Boise,ID,43.618881,-116.215019
Albany,NY,42.652580,-73.756233
San Antonio,TX,29.424349,-98.491142
Detroit,MI,42.331429,-83.045753
Carthage,MS,32.732635,-89.536179
Concord,NC,35.408752,-80.579514
Trenton,NJ,40.217052,-74.742935
Columbus,MS,33.495674,-88.427261
Lakewood,WA,47.171764,-122.518456
